OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,SalePrice,MSZoning,Utilities,BldgType,Heating,KitchenQual,SaleCondition,LandSlope
8,2058,2,444,1526,1232,2,11,2009,2016,395032,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
5,1511,1,260,1175,890,1,9,1903,1931,234431,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
7,1455,2,413,1111,824,1,7,2001,2021,310986,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
7,1721,2,427,1154,1094,2,9,1918,1930,289630,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
3,1163,1,169,978,339,1,6,1969,1980,191672,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
7,1510,1,244,1038,1019,2,8,1997,2025,289294,RL,AllPub,TwnhsE,GasA,Gd,AdjLand,Gtl
5,1175,2,410,737,613,2,6,1981,1996,235909,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
3,1391,3,585,890,875,2,8,1912,1912,213702,RL,AllPub,1Fam,GasA,TA,Abnorml,Gtl
10,2039,1,139,1718,1258,2,10,2004,2016,432265,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
10,2422,1,175,1584,1580,2,12,1922,1947,387300,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1999,3,544,1593,1219,2,10,1982,1988,376563,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1581,0,38,936,865,2,7,2008,2035,302150,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1290,3,661,976,613,1,7,1974,1999,244571,RL,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
8,1519,0,45,1107,876,1,8,1900,1904,285278,RM,AllPub,1Fam,GasA,TA,Normal,Mod
7,1691,3,724,1426,818,2,9,1987,1994,345491,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1483,2,376,939,826,2,7,1953,1977,233491,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1786,3,629,1110,1042,2,9,1970,1996,325871,RL,AllPub,2fmCon,GasA,TA,Normal,Gtl
3,1080,2,340,738,579,1,5,1988,2001,181633,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
9,2292,2,390,1854,1379,2,12,1984,2006,422983,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1462,1,126,890,853,1,8,1914,1943,237193,RL,AllPub,1Fam,GasA,Gd,Normal,Sev
8,1676,1,228,784,972,1,9,1964,1976,291521,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1530,2,382,1079,675,2,8,1975,1989,278695,RM,AllPub,1Fam,Grav,TA,Partial,Gtl
7,1803,2,297,1404,952,1,10,1970,1992,340044,RL,AllPub,1Fam,GasW,Gd,Abnorml,Gtl
7,1306,3,565,762,847,2,7,1914,1930,235857,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
5,1406,2,489,1111,924,2,8,1920,1934,217137,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
10,2262,3,620,1428,1173,2,12,1918,1937,399337,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1746,2,438,1200,966,2,10,1959,1976,355345,FV,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,2171,3,606,1632,1409,1,12,1992,2009,427899,RL,AllPub,1Fam,GasA,TA,Family,Mod
9,2078,3,590,1276,1174,1,10,1988,1989,420724,RH,AllPub,1Fam,GasA,Ex,Partial,Mod
7,2078,2,400,1481,1235,3,11,1932,1935,329416,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1799,3,612,1441,1223,2,9,1948,1977,361622,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
4,1366,2,345,1027,783,2,8,1995,1995,258649,RM,AllPub,1Fam,GasA,Ex,Normal,Gtl
5,1146,1,238,694,637,1,7,1934,1937,194149,RL,AllPub,1Fam,GasA,TA,Normal,Mod
3,726,2,456,736,419,2,3,1943,1960,141119,RL,AllPub,Duplex,GasA,Gd,Partial,Gtl
6,1092,1,190,863,840,2,6,2001,2005,243953,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1607,2,373,845,1008,2,9,1989,2007,310153,RL,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
6,1536,1,162,1204,923,2,8,1910,1924,236721,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1704,1,287,1107,969,1,10,1998,2025,356389,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1145,2,377,830,740,1,5,1971,1978,259026,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1361,2,432,1103,882,2,7,2009,2028,310746,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1650,3,590,1072,882,3,9,1977,1993,306359,RL,AllPub,1Fam,GasA,TA,Normal,Mod
5,1508,3,587,808,973,1,8,1973,1973,257757,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1796,2,361,1483,1062,2,10,1965,1976,352729,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1250,1,151,1049,752,1,7,1945,1970,200015,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
10,2024,2,436,1403,1125,1,11,1908,1926,332099,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,2149,2,350,1632,1249,2,11,1902,1916,317996,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
5,1146,2,423,746,584,1,5,1984,1992,224981,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
1,610,2,404,441,300,2,3,1925,1931,78332,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1701,2,437,1169,1058,2,9,1971,1972,347166,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1908,2,369,1286,1109,1,10,1947,1975,344755,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
8,1592,2,454,1168,825,1,8,1965,1973,329813,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1827,2,392,1097,1313,2,10,1969,1978,372190,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
4,1232,3,729,824,626,1,7,1927,1928,225528,RM,AllPub,1Fam,GasA,TA,Partial,Gtl
6,1361,2,319,999,925,2,7,1992,2010,295667,FV,AllPub,2fmCon,GasA,TA,Normal,Gtl
4,1265,1,321,1161,611,2,8,1925,1935,177191,RL,AllPub,Twnhs,GasA,TA,Normal,Gtl
9,1748,3,593,1048,1094,2,10,1924,1936,342733,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
7,1426,2,411,1076,830,2,7,1911,1920,273060,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1519,1,169,1157,848,1,8,1904,1917,238051,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
3,718,2,321,221,450,1,3,1997,2014,197595,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1071,2,373,811,648,1,5,1947,1965,240748,RM,AllPub,1Fam,GasA,Ex,Normal,Gtl
6,1606,2,381,1256,882,2,7,1936,1957,257054,RL,AllPub,Duplex,GasA,Gd,Normal,Gtl
8,2009,2,409,1494,1119,2,11,1978,1986,350459,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1556,2,456,1076,776,1,7,1943,1967,326615,RM,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
9,1816,1,209,1321,1120,1,10,1999,2005,366578,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1851,2,410,1321,985,2,9,1914,1941,269302,RL,AllPub,TwnhsE,GasW,TA,Normal,Gtl
4,970,3,619,425,582,2,5,1942,1944,182709,RL,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
8,1527,2,312,1097,975,3,8,1947,1966,285660,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
8,1941,1,116,1303,1185,2,11,1986,1991,367279,RL,AllPub,Twnhs,GasA,Gd,Normal,Gtl
7,1651,1,125,1049,918,2,8,1969,1995,273217,C (all),AllPub,1Fam,GasA,Gd,Abnorml,Gtl
8,2012,2,381,1781,1298,2,11,1945,1965,333806,RL,AllPub,1Fam,Grav,TA,Normal,Gtl
7,1221,2,306,1042,691,3,7,2007,2008,303659,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1369,2,365,785,687,2,6,1942,1970,291480,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
6,1502,2,331,1103,872,2,8,2008,2013,301138,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
2,983,2,424,906,648,1,6,1920,1922,124235,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
4,1369,2,421,733,753,1,6,1922,1937,206538,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
3,1084,2,384,770,738,2,6,2006,2035,202423,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1682,1,105,1196,932,2,9,1979,1986,329330,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1422,2,388,804,789,2,7,1946,1947,273221,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1968,3,616,1434,1076,1,10,1914,1930,309702,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
9,1729,2,440,1377,1105,2,9,1924,1932,350976,RL,AllPub,1Fam,GasA,Ex,Alloca,Gtl
5,1421,2,487,1220,847,2,7,1935,1964,247228,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1302,2,455,873,683,1,7,1974,1985,289082,RL,AllPub,1Fam,GasA,TA,Abnorml,Gtl
8,1906,3,608,1709,1103,2,10,1950,1952,368597,RL,AllPub,1Fam,GasW,TA,Normal,Gtl
5,1142,2,385,490,378,2,6,1914,1924,209524,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
4,1348,2,362,997,886,3,7,1967,1967,250239,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1522,3,667,853,896,2,8,1920,1942,262611,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,1698,3,608,1202,778,2,9,1912,1924,244323,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1893,2,431,1246,990,2,10,1985,1999,380012,RM,AllPub,1Fam,GasA,Gd,Alloca,Gtl
8,1884,2,370,1394,1088,3,9,1918,1943,320588,RL,AllPub,Duplex,GasA,Ex,Normal,Gtl
7,1494,2,337,1026,764,2,8,1933,1937,291722,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1892,1,179,1200,1214,2,10,1977,1997,364949,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
8,1821,3,584,1160,1134,2,9,1967,1996,356004,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,1044,2,409,1020,662,1,5,1951,1967,206478,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
9,1666,3,563,1232,739,2,9,2009,2033,390724,RL,AllPub,1Fam,GasA,TA,Abnorml,Gtl
7,1769,1,201,982,1008,3,9,1926,1948,267501,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1770,2,458,1321,992,2,9,1928,1951,337046,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1831,0,0,1252,1003,2,10,1927,1951,342848,RL,AllPub,1Fam,GasA,Gd,Alloca,Gtl
6,1352,2,294,947,769,1,7,1934,1939,258279,C (all),AllPub,1Fam,GasA,Gd,Normal,Gtl
4,1060,2,462,864,523,2,5,1907,1934,185031,RL,AllPub,2fmCon,GasA,Fa,Normal,Gtl
5,1372,2,326,1137,844,1,8,1915,1935,225205,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1589,1,180,983,1030,1,8,2005,2026,286451,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1381,1,230,962,896,2,7,1935,1945,287375,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
9,2232,1,197,1480,1325,1,12,1929,1946,395760,RL,AllPub,1Fam,GasA,Gd,Normal,Mod
1,1018,1,196,802,810,2,5,1917,1920,117059,RL,AllPub,Twnhs,GasA,TA,Normal,Gtl
7,1183,2,403,793,823,2,5,1901,1903,223153,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1717,2,525,1206,1020,3,9,1948,1960,261514,RL,AllPub,Duplex,GasA,Gd,Normal,Gtl
5,1561,2,489,1052,888,2,8,1976,1998,247128,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1200,2,365,824,853,1,7,1903,1911,180316,RL,AllPub,1Fam,GasA,TA,Abnorml,Mod
6,1240,1,252,1123,844,1,7,1989,2009,288346,RM,AllPub,1Fam,GasA,TA,Alloca,Gtl
10,2303,1,225,1970,1240,2,12,1988,1993,414227,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1451,1,199,1072,979,2,8,1993,2018,304326,RL,AllPub,1Fam,GasA,Gd,Normal,Mod
7,1759,2,354,1216,1039,2,9,1974,2003,325551,RM,AllPub,1Fam,GasW,Gd,Normal,Gtl
8,2243,2,422,1330,1259,2,11,1906,1933,347431,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
6,1550,1,184,970,732,1,9,1994,2005,294240,RL,AllPub,Twnhs,GasA,TA,Partial,Gtl
10,1916,1,181,1322,1122,2,10,2007,2008,411759,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
10,2032,3,561,1315,1217,2,11,1973,1975,402549,RL,AllPub,1Fam,GasA,Gd,Normal,Mod
6,1342,2,449,847,963,1,7,1938,1940,217443,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1736,2,361,1451,1137,1,10,1912,1939,286354,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1338,2,361,940,744,1,7,1930,1941,236761,RL,AllPub,1Fam,GasA,TA,Normal,Mod
6,1405,1,238,1001,881,1,8,1970,1984,271978,RL,AllPub,1Fam,GasW,TA,Normal,Gtl
3,793,3,592,453,558,2,4,1962,1970,174928,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1623,2,394,1312,982,1,9,1955,1977,303034,RL,AllPub,Duplex,GasA,Gd,Normal,Gtl
7,1685,2,451,1147,952,1,8,1941,1948,326872,C (all),AllPub,2fmCon,GasA,Gd,Normal,Gtl
3,513,2,465,280,300,1,3,1960,1970,132769,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1551,2,293,848,969,3,7,1941,1956,233133,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
9,1940,1,193,1348,1205,3,10,1955,1980,360651,RL,AllPub,1Fam,Grav,Gd,Normal,Gtl
5,1197,2,329,755,688,1,6,1935,1961,238257,RL,AllPub,TwnhsE,GasA,TA,Normal,Gtl
5,1755,1,180,1481,791,2,10,1983,2007,288727,RL,AllPub,1Fam,GasA,TA,Family,Gtl
7,1841,1,199,1565,975,1,10,1967,1988,317910,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
10,1880,2,382,1130,1189,2,10,1906,1909,358006,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
5,1517,1,148,893,697,1,8,1953,1980,270963,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,2048,2,346,1392,1347,2,11,1900,1900,313593,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1826,3,636,1155,1199,2,10,1943,1966,338623,RM,AllPub,1Fam,GasA,Gd,Partial,Gtl
5,1422,1,276,1028,857,3,8,1944,1950,245929,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1867,2,296,1257,1179,1,10,2005,2006,369468,RL,AllPub,2fmCon,GasA,TA,Normal,Gtl
6,1082,2,383,799,702,2,6,1946,1969,236181,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
7,1612,2,436,1280,955,2,9,1912,1939,277925,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1602,2,398,961,823,1,8,1921,1925,277562,C (all),AllPub,1Fam,GasA,TA,Normal,Mod
7,1936,2,344,1504,1258,2,10,1920,1926,320220,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1266,2,376,776,900,1,6,1985,1988,237086,RH,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1890,2,415,1645,1013,1,10,1991,1995,419220,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1481,3,584,1279,747,1,7,1908,1931,239388,RL,AllPub,TwnhsE,GasA,Gd,Normal,Mod
5,1554,2,397,1070,918,2,8,1925,1925,269508,RL,AllPub,1Fam,GasA,TA,Abnorml,Gtl
3,1013,3,599,564,545,2,5,1908,1908,156992,RL,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
7,1510,1,173,883,920,3,8,1914,1928,261901,RL,AllPub,2fmCon,GasA,TA,Normal,Gtl
8,1744,3,640,1351,1167,1,10,1909,1928,333040,RL,AllPub,Duplex,GasA,Gd,Normal,Gtl
2,1088,2,376,757,428,3,5,1987,2005,192706,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1749,2,349,1363,1207,1,9,1941,1969,326049,RL,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
5,1358,2,511,1281,774,2,8,1971,1980,279221,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
7,1688,1,196,1066,1063,2,8,1923,1950,281502,RL,AllPub,1Fam,GasA,TA,Abnorml,Gtl
5,1238,1,69,682,804,1,6,1979,1996,256234,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1761,1,262,1261,1130,3,10,1948,1975,313442,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
6,1367,1,262,1128,826,2,7,1925,1927,240500,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
9,1891,2,422,1182,1164,2,10,1990,2000,375369,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,1619,2,431,1138,1000,2,8,1936,1950,246000,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1284,2,507,1104,707,2,7,1967,1993,269517,RL,AllPub,1Fam,Wall,Gd,Normal,Gtl
4,1062,1,151,498,461,2,5,1949,1978,199626,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1699,3,606,1224,897,2,9,1923,1933,351690,RL,AllPub,Twnhs,GasW,Gd,Normal,Gtl
9,1655,2,498,1077,982,1,8,1918,1934,316642,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1462,3,709,1042,798,2,8,1999,2015,291627,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1676,2,381,1279,927,3,10,1959,1964,318809,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
8,2152,1,300,1539,1471,1,11,1938,1942,348231,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1593,2,440,963,1041,1,8,1973,1980,283627,RM,AllPub,2fmCon,GasA,TA,Normal,Gtl
7,1907,2,474,1259,1118,2,10,1988,1989,326240,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
5,1543,0,38,1294,993,2,8,1917,1932,220077,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1158,0,15,859,652,2,6,1918,1937,191490,RL,AllPub,TwnhsE,GasA,Gd,Partial,Gtl
9,2372,1,310,1786,1434,1,12,1935,1958,381557,FV,AllPub,1Fam,GasA,TA,Normal,Gtl
9,2003,1,173,1439,1245,2,11,1973,1984,388547,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
7,1952,2,495,1487,1129,1,10,1996,2001,353673,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1779,2,503,1185,998,2,9,1954,1954,286325,FV,AllPub,Duplex,Grav,TA,Normal,Gtl
6,1582,1,268,992,1071,2,8,1968,1971,270262,RL,AllPub,Duplex,GasA,Gd,Normal,Gtl
8,1950,2,396,1479,1231,1,9,1946,1962,328089,RH,AllPub,1Fam,GasA,TA,Normal,Gtl
9,2074,2,412,1620,1018,2,12,1948,1960,412887,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1721,1,136,1067,965,3,9,1998,2015,378257,RL,AllPub,2fmCon,GasA,TA,Abnorml,Gtl
8,1811,0,0,1181,1008,2,9,2007,2011,354835,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1864,1,231,1280,1056,2,10,1997,2026,314390,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
4,1505,2,328,1296,989,2,7,1932,1955,221445,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
5,1205,1,185,927,724,2,6,1920,1943,194209,RL,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
9,2055,2,497,1239,1094,1,10,1980,2006,385993,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1680,2,392,1162,969,1,9,1921,1923,276630,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
1,726,2,451,471,489,1,3,1947,1957,102425,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
4,1271,1,228,713,740,2,7,1936,1948,183002,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1843,2,384,1274,1041,2,10,1914,1917,315463,FV,AllPub,Duplex,GasA,Ex,Normal,Gtl
1,858,2,392,557,547,2,4,1934,1959,116691,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
5,1638,3,608,1092,1144,2,9,1991,2017,286421,RL,AllPub,2fmCon,GasA,Gd,Normal,Gtl
7,1806,2,297,1203,1129,2,9,1970,1983,346413,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
8,1862,2,447,1524,1247,2,10,1931,1952,345866,RL,AllPub,1Fam,GasA,Ex,Abnorml,Gtl
8,2172,2,394,1465,1245,2,11,1910,1920,328874,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,1571,2,449,1107,941,2,9,1909,1935,241784,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
8,1781,3,619,1237,1065,2,8,1972,1981,341090,RM,AllPub,1Fam,GasW,TA,Normal,Gtl
5,1106,0,0,698,675,1,5,1977,1995,212893,RL,AllPub,1Fam,OthW,Gd,Normal,Gtl
6,1302,3,609,923,825,3,6,1976,1993,285767,RL,AllPub,1Fam,GasA,Ex,Abnorml,Gtl
8,1986,2,410,1400,1099,1,11,1956,1961,361144,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
7,1523,2,473,1078,978,1,8,1924,1950,272128,RL,AllPub,2fmCon,GasA,Ex,Abnorml,Gtl
9,1748,0,3,1094,886,3,9,1901,1929,290686,RL,AllPub,1Fam,GasA,TA,Normal,Mod
8,1648,2,414,1122,855,2,8,1963,1977,330135,RM,AllPub,1Fam,Wall,Gd,Normal,Gtl
7,1512,2,336,1172,1120,2,7,1934,1954,293679,RM,AllPub,1Fam,GasA,Gd,Normal,Gtl
4,1370,1,197,932,770,2,7,1906,1935,182265,RM,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
6,1468,1,272,1051,953,2,8,1984,1993,291348,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1225,3,621,882,904,1,8,1917,1921,253229,RH,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,1356,2,345,1011,582,2,7,1966,1991,240786,RL,AllPub,1Fam,Grav,Gd,Normal,Gtl
10,2144,2,351,1584,1399,2,11,1941,1969,413772,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
6,1404,1,162,956,907,2,7,1938,1942,267770,RL,AllPub,1Fam,GasA,Gd,Normal,Sev
9,2181,2,449,1389,1472,2,11,1940,1949,405655,RH,AllPub,Twnhs,GasA,TA,Normal,Gtl
7,1565,2,443,912,820,3,9,1974,2001,330816,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,2021,2,227,1567,1357,1,10,2002,2006,366060,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
7,1769,2,395,1353,987,2,9,1923,1925,314574,RL,AllPub,1Fam,OthW,TA,Abnorml,Gtl
7,1835,2,407,1381,1206,2,10,1959,1981,336414,RL,AllPub,Duplex,GasA,Fa,Normal,Gtl
7,1430,2,351,1122,854,3,8,1945,1950,281512,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
5,1369,1,180,934,898,1,8,1918,1921,224643,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1789,3,666,1158,1078,2,9,1967,1984,319835,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1215,2,420,703,545,3,7,1989,2016,238879,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
2,1121,2,375,621,360,1,5,2001,2009,160460,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1486,2,390,1222,912,3,7,1941,1957,295938,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,1228,2,388,785,710,1,7,1931,1959,227427,RL,AllPub,1Fam,GasA,Fa,Normal,Gtl
10,1897,1,214,1486,1178,2,10,1938,1950,366431,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
