Year,Mileage_km,Engine_CC,Horsepower,Num_Owners,Doors,Seats,Service_History,Accidents_Reported,Insurance_Valid,Brand,Fuel_Type,Transmission,Body_Type,Condition,Price_USD
2017,79222.0,1200,113,1,4,5,1,0,0,Honda,Diesel,Automatic,Hatchback,Good,7053.8
2021,58777.0,1600,140,2,4,5,1,1,1,Mercedes,Electric,Automatic,Coupe,New,27645.37
2016,103413.0,1800,147,3,4,5,1,0,0,Kia,Petrol,Automatic,Coupe,Fair,2777.22
2007,206040.0,1500,100,5,5,5,0,0,1,Toyota,Diesel,Automatic,Truck,Poor,980.83
2012,134914.0,1800,134,1,4,5,1,2,1,Toyota,Petrol,Automatic,Coupe,Good,3155.63
2020,34205.0,2500,215,1,3,5,1,0,1,Honda,Petrol,Manual,Truck,Good,12232.47
2008,193452.0,2500,183,2,4,7,1,0,0,Honda,Petrol,Automatic,Sedan,Poor,2110.01
2017,109321.0,3000,245,3,4,7,1,0,1,Toyota,Petrol,Manual,Truck,Fair,7331.11
2012,147644.0,1600,133,1,4,4,1,0,0,Audi,Petrol,Manual,SUV,Good,6325.03
2005,246007.0,1600,150,1,4,5,1,0,1,Nissan,Diesel,Automatic,SUV,Like New,4677.95
2007,206954.0,2000,175,1,4,5,0,0,0,Kia,Petrol,Automatic,Coupe,Good,5293.95
2005,249583.0,1600,147,2,4,5,1,0,0,Nissan,Hybrid,Manual,Truck,Fair,3237.06
2019,66724.0,1000,87,2,4,4,1,0,1,Kia,Petrol,Automatic,SUV,Fair,2975.85
2022,17522.0,2000,153,3,4,5,1,0,1,Hyundai,Petrol,Automatic,Truck,Like New,10205.5
2007,211966.0,1500,115,1,4,8,1,0,1,Hyundai,Petrol,Automatic,Sedan,Good,1161.03
2019,99510.0,1000,69,3,4,4,0,0,0,Hyundai,Petrol,Automatic,Hatchback,Fair,1512.41
2009,218848.0,1000,92,1,5,6,1,0,0,Honda,Petrol,Automatic,SUV,Good,2513.55
2014,139298.0,3000,239,1,2,5,0,0,1,Nissan,Diesel,Manual,Truck,Fair,5479.76
2011,165944.0,1500,119,2,4,5,0,0,1,Kia,Diesel,Automatic,SUV,Fair,1323.51
2012,160559.0,1600,133,3,4,5,1,1,0,BMW,Petrol,Automatic,SUV,Good,7124.58
2007,220753.0,3500,316,1,4,5,0,0,0,Honda,Diesel,Automatic,Sedan,Fair,524.37
2022,35402.0,1600,143,4,4,7,1,0,0,Audi,Diesel,Manual,SUV,Good,14022.59
2021,54614.0,1200,88,3,5,8,0,1,1,Kia,Hybrid,Manual,Hatchback,Good,6522.05
2020,63123.0,1800,152,1,2,5,1,0,1,Hyundai,Diesel,Manual,SUV,Good,8028.21
2017,91260.0,1200,124,3,4,5,0,0,1,Mercedes,Petrol,Automatic,Sedan,Good,10435.65
2008,186071.0,1200,109,2,4,5,1,0,1,Nissan,Diesel,Manual,Coupe,New,5803.21
2007,209099.0,2500,184,3,4,4,0,0,1,Ford,Petrol,Automatic,Van,Good,3817.22
2015,131993.0,1500,111,4,4,4,1,0,1,Toyota,Petrol,Automatic,Sedan,Like New,5883.19
2006,227528.0,2000,151,3,4,6,1,0,1,Mercedes,Diesel,Automatic,Sedan,Like New,8203.16
2022,40504.0,1800,171,1,4,5,1,0,1,BMW,Diesel,Automatic,Truck,Poor,4672.49
2008,199755.0,1500,143,3,5,5,0,3,1,Audi,Hybrid,Automatic,Truck,Like New,4239.86
2021,32106.0,1800,140,2,4,8,1,0,0,Hyundai,Petrol,Automatic,Coupe,Good,8738.32
2010,176421.0,1200,90,2,4,4,1,0,1,Kia,Diesel,Automatic,Hatchback,Poor,611.9
2014,116663.0,1500,125,1,4,5,1,0,1,Ford,Petrol,Automatic,SUV,Fair,1922.05
2015,103706.0,1800,151,4,4,7,1,0,1,Kia,Diesel,Automatic,Sedan,Good,5644.35
2009,210085.0,1500,110,2,4,5,1,0,1,Audi,Petrol,Manual,Coupe,Fair,2460.98
2022,29699.0,2000,162,2,5,5,1,1,1,Audi,Petrol,Manual,Hatchback,New,23387.56
2014,120878.0,1200,78,2,3,4,0,2,1,Audi,Diesel,Manual,Van,Fair,3664.09
2013,168269.0,1600,152,3,4,7,1,0,0,Toyota,Petrol,Automatic,SUV,Like New,7738.66
2020,72225.0,2000,140,1,4,5,0,0,1,Toyota,Petrol,Manual,Truck,Like New,11145.52
2014,126427.0,1600,106,3,4,5,1,3,1,Honda,Diesel,Automatic,Van,Fair,1362.4
2014,138415.0,2500,214,1,4,5,1,2,0,Volkswagen,Petrol,Automatic,Coupe,Like New,7450.74
2008,200463.0,1800,131,3,4,5,0,0,1,Volkswagen,Hybrid,Automatic,Sedan,Like New,5679.12
2018,73610.0,3500,284,2,2,6,1,2,1,Toyota,Electric,Manual,Coupe,Fair,10578.6
2012,163120.0,1500,125,2,4,5,1,1,1,Hyundai,Diesel,Manual,SUV,New,5460.42
2005,235135.0,3000,260,2,4,5,1,0,0,Nissan,Diesel,Manual,Sedan,New,4655.56
2020,61132.0,1800,146,1,4,5,1,2,1,Ford,Diesel,Manual,Sedan,Fair,1344.22
2021,63320.0,2000,193,2,4,8,1,1,0,Toyota,Hybrid,Manual,Van,Good,11704.68
2014,145668.0,3000,249,5,2,2,1,1,1,Mercedes,Diesel,Automatic,Hatchback,Fair,6981.63
2010,171749.0,1800,167,3,4,5,0,0,0,Honda,Petrol,Automatic,Sedan,Fair,2038.85
2011,175290.0,2500,212,1,4,5,1,1,1,Hyundai,Petrol,Manual,Van,Good,512.98
2022,19082.0,1800,181,4,5,6,1,0,0,BMW,Petrol,Manual,Van,Fair,12189.3
2006,234756.0,1800,165,3,4,6,1,1,1,Volkswagen,Petrol,Automatic,Van,Like New,2606.58
2013,146227.0,1600,133,1,5,4,1,0,1,Toyota,Electric,Manual,SUV,Like New,8535.97
2009,197685.0,1200,109,2,2,5,0,0,1,Kia,Petrol,Automatic,SUV,Fair,4050.86
2012,151538.0,1800,146,2,2,4,1,1,1,Nissan,Petrol,Manual,SUV,Good,1971.26
2009,223261.0,3500,287,1,5,5,1,0,1,Hyundai,Hybrid,Manual,Sedan,New,9023.54
2019,58481.0,2000,147,3,4,4,1,2,1,Audi,Diesel,Manual,Truck,Poor,2812.88
2012,170573.0,2000,154,1,4,4,1,0,0,BMW,Electric,Automatic,Coupe,Fair,5840.53
2009,176525.0,1800,180,2,5,5,0,0,1,Hyundai,Petrol,Automatic,Van,Fair,2961.28
2009,199565.0,1500,106,3,5,7,1,0,1,Kia,Diesel,Manual,SUV,Poor,500.0
2021,56637.0,1500,115,4,2,5,1,0,0,Volkswagen,Diesel,Automatic,Hatchback,Good,9081.39
2013,144825.0,1500,123,1,4,2,0,1,1,Nissan,Electric,Manual,Hatchback,Good,4401.06
2006,220570.0,1000,82,1,4,5,1,2,0,Kia,Electric,Manual,Van,Like New,2051.54
2005,242117.0,2000,172,2,4,2,1,2,1,Kia,Petrol,Manual,Van,Like New,2364.81
2015,124005.0,2500,201,3,4,5,1,0,0,Hyundai,Diesel,Automatic,Sedan,Good,5568.36
2019,98849.0,1500,131,4,4,5,1,0,1,Hyundai,Petrol,Manual,Sedan,New,8243.12
2005,226915.0,1200,117,1,5,6,0,1,1,Toyota,Petrol,Manual,Hatchback,Fair,2418.88
2011,159661.0,1500,143,2,4,6,1,1,1,Audi,Petrol,Automatic,Sedan,Good,3876.03
2023,28271.0,1500,120,1,2,7,1,2,0,Volkswagen,Petrol,Manual,Hatchback,Poor,3150.51
2019,68159.0,1600,142,3,4,5,1,1,1,Audi,Electric,Automatic,Coupe,Good,11141.06
2010,178499.0,1500,107,1,2,7,0,1,0,Toyota,Diesel,Automatic,Truck,Poor,1154.05
2014,148055.0,1500,114,4,4,5,0,1,1,Hyundai,Petrol,Manual,SUV,Like New,1794.75
2016,65696.0,3000,232,1,4,5,1,1,0,Hyundai,Petrol,Automatic,Coupe,Good,8427.88
2017,87031.0,1500,124,3,2,8,1,1,1,Audi,Petrol,Automatic,Sedan,Good,7632.9
2019,45864.0,2000,153,1,4,7,0,0,1,Honda,Diesel,Automatic,Coupe,Like New,12131.4
2023,6063.0,1800,127,2,5,7,1,1,0,Toyota,Petrol,Automatic,Truck,Fair,7394.24
2021,84069.0,1500,119,2,5,5,1,2,1,Honda,Petrol,Manual,Hatchback,Good,5893.5
2017,104973.0,2500,182,1,4,5,0,0,1,Hyundai,Electric,Automatic,Hatchback,Good,9708.7
2006,242273.0,1800,169,1,4,7,0,0,0,Kia,Electric,Manual,Hatchback,Good,1332.37
2022,34792.0,1000,74,1,4,5,1,0,1,Kia,Diesel,Automatic,Van,Fair,3666.22
2015,131381.0,1200,114,1,4,6,1,0,0,Ford,Hybrid,Manual,Sedan,Like New,4007.93
2009,165502.0,2000,159,1,4,5,1,2,0,BMW,Diesel,Automatic,Truck,Good,3180.27
2008,219574.0,1600,115,2,5,6,1,0,1,Ford,Diesel,Manual,Truck,Poor,2076.75
2006,215702.0,1600,150,3,4,2,1,1,1,Audi,Petrol,Automatic,Van,Good,4149.32
2020,52030.0,1200,101,3,4,5,1,2,0,Ford,Petrol,Automatic,Sedan,Poor,1618.12
2011,175577.0,1500,153,1,4,7,1,2,1,Nissan,Petrol,Manual,SUV,Good,2641.77
2012,160747.0,2000,159,1,4,5,1,0,1,Hyundai,Diesel,Automatic,Hatchback,Good,4837.24
2012,157269.0,2500,201,3,4,5,1,0,1,Hyundai,Hybrid,Automatic,Coupe,Good,5423.54
2006,207554.0,1800,165,2,4,6,1,0,1,Mercedes,Petrol,Manual,Coupe,Fair,4294.87
2019,73497.0,1500,140,1,5,4,0,0,1,Mercedes,Petrol,Automatic,Coupe,Fair,5743.85
2009,206408.0,3000,252,1,5,5,0,0,1,Volkswagen,Electric,Automatic,Van,Fair,2275.26
2023,16013.0,1800,200,1,4,5,1,0,0,Audi,Petrol,Automatic,Van,Poor,4746.48
2014,151724.0,2000,162,1,4,4,1,0,0,Volkswagen,Hybrid,Manual,SUV,Fair,4594.25
2013,130910.0,1000,64,3,4,5,1,0,1,Volkswagen,Hybrid,Automatic,Van,Good,5849.65
2012,156098.0,1600,118,1,4,7,1,0,1,Nissan,Petrol,Automatic,Sedan,Good,3576.46
2009,215030.0,2500,204,4,2,5,1,2,0,Ford,Diesel,Automatic,Sedan,Fair,500.0
2023,13779.0,1500,147,4,4,7,1,1,0,Hyundai,Diesel,Automatic,Hatchback,Like New,10809.2
2017,111810.0,2000,163,3,5,5,0,1,1,Audi,Diesel,Automatic,SUV,Good,9772.57
2018,113620.0,2000,190,1,4,5,1,1,1,Mercedes,Hybrid,Manual,Coupe,Good,14076.75
2012,158566.0,1500,131,1,4,5,1,0,1,BMW,Petrol,Automatic,Sedan,Good,8724.93
2020,52095.0,2000,182,2,2,4,0,1,1,Audi,Diesel,Automatic,SUV,New,23610.39
2009,180409.0,1200,105,1,4,8,1,0,1,Mercedes,Diesel,Automatic,Van,Poor,500.0
2005,259569.0,2000,172,4,4,5,0,0,1,Hyundai,Diesel,Automatic,Truck,Good,1520.71
2023,43150.0,4000,344,1,2,5,0,0,1,Kia,Petrol,Automatic,SUV,Good,11740.41
2023,45740.0,3500,283,3,4,7,0,0,1,Volkswagen,Diesel,Automatic,Hatchback,Fair,11506.32
2021,47507.0,2500,199,2,4,6,0,0,0,Ford,Petrol,Manual,Coupe,New,15043.38
2014,147567.0,1800,155,3,4,8,1,3,1,Toyota,Petrol,Automatic,Sedan,Like New,6850.47
2009,191267.0,2000,195,2,4,4,1,0,1,Nissan,Petrol,Automatic,Van,Poor,2713.12
2011,154754.0,2000,143,2,4,4,1,0,1,Mercedes,Petrol,Automatic,Sedan,Fair,4641.55
2020,76863.0,1000,60,5,4,5,1,1,0,Audi,Diesel,Automatic,Van,New,13449.79
2007,240508.0,1200,96,1,3,5,1,1,1,Audi,Diesel,Manual,Truck,Fair,4268.47
2016,92691.0,1800,165,1,4,4,1,0,0,BMW,Petrol,Automatic,Truck,Fair,4152.72
2018,68409.0,1000,84,1,4,5,0,1,1,Ford,Petrol,Manual,Truck,Like New,5855.51
2005,240600.0,3000,232,2,4,5,0,2,1,Mercedes,Hybrid,Automatic,Hatchback,New,8670.72
2011,182342.0,1600,134,1,4,5,0,0,1,Honda,Petrol,Automatic,Coupe,Fair,813.24
2022,18993.0,1500,99,1,4,4,1,0,1,Honda,Electric,Manual,Truck,Good,11516.22
2008,207405.0,1600,142,1,4,7,1,2,1,Hyundai,Petrol,Automatic,Van,Poor,761.04
2020,51144.0,2500,203,3,4,5,1,1,1,Mercedes,Diesel,Automatic,Coupe,Fair,10276.81
2015,130512.0,3000,248,2,4,7,0,3,1,Audi,Electric,Automatic,Coupe,Good,12318.44
2022,24032.0,1200,106,3,4,7,1,0,1,BMW,Hybrid,Manual,Truck,Like New,21765.88
2020,71577.0,2000,169,1,4,5,1,1,1,Toyota,Petrol,Manual,Coupe,Good,10758.78
2011,165627.0,1800,141,3,3,5,0,0,1,Nissan,Diesel,Automatic,Sedan,New,2798.14
2007,201943.0,1800,165,2,4,5,1,0,0,Hyundai,Diesel,Manual,Coupe,Good,5575.39
2009,192955.0,2000,178,2,4,6,1,2,1,Volkswagen,Diesel,Automatic,Coupe,Good,4437.78
2022,6930.0,1500,98,1,4,5,0,3,1,Kia,Petrol,Manual,Sedan,Good,5290.52
2021,39614.0,1800,146,1,5,5,0,0,1,Ford,Electric,Automatic,Sedan,Like New,11441.17
2005,245061.0,1500,108,4,2,5,1,2,0,BMW,Petrol,Manual,SUV,Like New,5547.66
2020,33424.0,1200,80,3,5,5,1,0,1,Nissan,Petrol,Manual,SUV,Like New,9496.21
2019,33433.0,1200,108,1,5,8,1,0,1,Mercedes,Diesel,Manual,Truck,Good,13834.7
2017,60909.0,1200,93,5,4,7,1,0,1,Ford,Hybrid,Automatic,Van,Fair,6075.34
2011,187907.0,1800,147,1,4,2,0,2,0,Volkswagen,Petrol,Automatic,Hatchback,Good,1355.57
2007,214849.0,1200,89,2,5,5,1,1,1,Audi,Diesel,Automatic,Coupe,Fair,4254.72
2017,88013.0,1800,155,3,4,5,1,0,1,Kia,Petrol,Automatic,Coupe,Fair,5621.08
2020,74177.0,1800,160,1,4,7,0,0,1,Volkswagen,Petrol,Manual,Hatchback,Fair,5626.1
2005,233933.0,3000,282,1,3,5,0,0,0,Honda,Electric,Automatic,Truck,Fair,2550.8
2005,244027.0,1800,147,2,4,8,1,1,0,Nissan,Electric,Automatic,Coupe,Good,2482.9
2020,60386.0,4000,311,2,4,5,1,0,1,Ford,Petrol,Automatic,SUV,Like New,18113.16
2006,220935.0,1000,75,1,5,5,1,0,1,BMW,Diesel,Automatic,Coupe,Like New,6640.95
2022,40412.0,2000,179,1,4,5,0,1,1,Nissan,Diesel,Automatic,Sedan,Good,8183.04
2022,47599.0,1000,71,4,5,5,1,0,1,Honda,Petrol,Automatic,Coupe,Good,7188.11
2009,189226.0,2000,144,1,4,7,1,1,1,Ford,Petrol,Automatic,Coupe,Good,2519.31
2009,185092.0,1600,122,1,4,4,1,1,0,Volkswagen,Petrol,Manual,Sedan,Good,2140.64
2012,150862.0,1800,141,3,4,8,0,0,1,Nissan,Petrol,Automatic,SUV,New,4952.72
2013,109531.0,1500,108,1,4,7,1,1,0,Kia,Petrol,Manual,Sedan,Good,1699.71
2018,88246.0,1500,128,1,5,7,1,0,0,Hyundai,Petrol,Manual,Van,Fair,3114.67
2017,77863.0,2000,165,5,4,5,1,0,1,Hyundai,Petrol,Manual,Hatchback,Fair,4731.69
2022,45446.0,3000,261,4,4,5,0,1,0,Honda,Petrol,Manual,SUV,Good,11973.83
2008,202644.0,1500,118,1,5,5,1,1,1,Volkswagen,Petrol,Automatic,Coupe,Like New,2774.27
2022,37577.0,3000,258,4,4,8,1,2,0,Hyundai,Petrol,Automatic,Sedan,Good,8957.86
2019,82505.0,1200,92,4,4,4,1,0,1,Mercedes,Diesel,Manual,Van,Poor,2814.68
2011,154102.0,2000,149,2,4,5,1,2,1,Nissan,Electric,Automatic,Van,Good,1910.31
2017,101539.0,3500,283,2,4,8,0,0,1,Mercedes,Hybrid,Automatic,Sedan,Fair,11493.0
2006,232014.0,1200,75,1,4,5,1,0,1,Honda,Electric,Automatic,SUV,Fair,4675.85
2013,141228.0,1600,160,1,4,5,1,0,0,Honda,Petrol,Manual,Van,Like New,2843.39
2009,178077.0,1500,127,2,4,5,1,1,1,Kia,Electric,Manual,Sedan,Fair,2687.88
2005,248929.0,1600,121,3,3,7,1,1,1,Mercedes,Electric,Manual,Hatchback,Good,4014.88
2023,34552.0,2000,161,2,4,5,0,0,0,Kia,Hybrid,Automatic,Truck,Good,9896.95
2023,25704.0,2000,129,1,4,7,1,0,0,Volkswagen,Petrol,Manual,Coupe,Poor,2347.36
2017,79945.0,3500,313,1,4,5,1,0,1,BMW,Petrol,Manual,Hatchback,Good,17305.86
2010,172088.0,1500,145,2,2,6,1,0,0,Mercedes,Petrol,Manual,Sedan,New,9148.96
2014,131095.0,1800,151,2,4,5,1,0,0,Toyota,Petrol,Automatic,Truck,Like New,5652.17
2015,130327.0,1600,138,1,5,4,1,0,0,Hyundai,Petrol,Manual,Coupe,Good,6685.24
2020,36248.0,3000,230,2,5,6,1,2,1,Toyota,Hybrid,Automatic,Hatchback,Fair,7005.46
2005,231543.0,1000,65,3,4,5,1,2,0,Ford,Hybrid,Automatic,SUV,New,2991.75
2023,17960.0,4000,307,1,2,5,1,2,0,Nissan,Diesel,Automatic,Coupe,Fair,8288.18
2009,190752.0,1600,130,1,4,5,1,0,1,Ford,Petrol,Automatic,SUV,Like New,5597.88
2010,160480.0,1800,165,1,2,5,0,0,1,Kia,Petrol,Automatic,Coupe,Good,2934.88
2010,176737.0,1600,127,4,4,5,0,2,0,Nissan,Diesel,Manual,Sedan,Good,4407.79
2009,187343.0,2500,213,2,4,5,1,0,1,Honda,Diesel,Automatic,Van,Like New,6916.3
2010,164436.0,1800,164,2,4,5,1,0,1,Audi,Petrol,Automatic,Hatchback,Good,4089.78
2017,94230.0,2000,142,3,2,4,0,0,1,BMW,Petrol,Manual,Coupe,Good,13605.96
2005,231882.0,1800,177,1,4,5,1,0,0,Hyundai,Diesel,Automatic,SUV,Good,2743.91
2005,247434.0,1600,150,1,4,6,1,0,1,Hyundai,Petrol,Manual,Coupe,Like New,3027.93
2018,70720.0,1200,107,2,4,5,0,0,1,Honda,Diesel,Automatic,Coupe,Like New,8700.77
2012,157348.0,2500,222,2,4,5,0,1,0,Nissan,Hybrid,Manual,Coupe,Like New,5150.03
2013,131874.0,1500,139,1,2,5,0,1,0,BMW,Diesel,Automatic,Sedan,Good,8888.78
2014,123004.0,2500,212,1,4,2,1,0,1,Honda,Hybrid,Manual,Van,Like New,10971.14
2010,184459.0,1800,171,2,4,7,1,0,0,Nissan,Petrol,Manual,Van,Fair,3754.94
2013,147521.0,1600,126,3,4,5,0,1,1,Toyota,Hybrid,Automatic,Van,Fair,3197.77
2022,29745.0,1800,156,1,4,5,1,0,1,Nissan,Diesel,Manual,Van,Like New,12819.44
2019,67959.0,1800,169,2,4,5,1,0,1,Kia,Diesel,Automatic,Hatchback,Poor,4734.45
2008,182196.0,2000,126,4,4,5,1,0,1,Mercedes,Petrol,Manual,Van,Like New,5554.0
2006,249041.0,2500,214,1,4,5,1,1,1,Mercedes,Hybrid,Automatic,Van,New,10517.35
2010,190312.0,1500,135,2,4,5,0,1,0,Ford,Petrol,Manual,Truck,Good,2469.26
2021,57772.0,3000,224,2,5,5,1,0,1,Toyota,Petrol,Automatic,Coupe,Like New,15052.14
2011,144075.0,1600,137,1,4,5,1,0,1,Ford,Diesel,Manual,Coupe,Fair,6513.72
2019,63068.0,2500,196,3,2,5,1,0,1,Audi,Petrol,Automatic,Sedan,Like New,17362.62
2006,222982.0,1500,130,4,5,5,0,0,1,BMW,Petrol,Automatic,SUV,Good,3287.89
2016,79034.0,1000,81,3,4,5,0,0,1,Mercedes,Petrol,Automatic,Truck,New,15373.42
2014,145349.0,1800,135,1,4,4,1,0,1,Hyundai,Petrol,Automatic,Truck,Fair,6101.05
2021,69808.0,1500,141,3,4,5,0,0,1,Audi,Petrol,Automatic,Truck,Good,12552.34
2022,66929.0,4000,327,2,5,6,1,0,1,Mercedes,Petrol,Manual,Sedan,Good,23056.93
2020,44312.0,1200,104,1,4,5,0,0,1,Kia,Petrol,Automatic,Truck,Fair,6958.7
2014,133760.0,1000,103,1,4,6,1,1,1,Audi,Hybrid,Automatic,Van,New,13215.1
2012,175842.0,1000,69,4,4,5,0,0,1,Toyota,Diesel,Manual,SUV,Good,2263.26
2017,92196.0,1500,125,2,2,5,1,0,1,Honda,Petrol,Manual,Hatchback,Like New,8079.42
2020,51495.0,1800,142,4,4,8,0,3,0,Mercedes,Hybrid,Automatic,Truck,Good,14365.47
2012,128010.0,1800,145,1,4,7,0,0,1,Mercedes,Diesel,Automatic,Van,Fair,1917.11
2016,124989.0,1600,165,3,5,5,1,0,1,Audi,Petrol,Automatic,Coupe,Like New,16149.01
2021,47711.0,1200,106,1,4,5,0,0,1,Kia,Petrol,Automatic,SUV,Good,5677.54
2020,49060.0,1500,129,1,5,5,0,0,0,Nissan,Petrol,Manual,SUV,Like New,8057.18
2013,148258.0,1500,132,5,4,7,0,0,1,Audi,Hybrid,Automatic,Truck,Fair,5252.15
2023,26295.0,2000,173,1,4,7,0,0,1,Kia,Electric,Manual,Coupe,Fair,4410.83
2021,50524.0,2000,139,2,4,6,1,0,0,Hyundai,Petrol,Manual,SUV,Good,8515.6
2012,152744.0,2000,201,4,4,4,1,3,0,Hyundai,Diesel,Automatic,Sedan,Good,5485.26
2016,132335.0,3500,269,3,4,5,1,0,0,Toyota,Petrol,Automatic,Truck,Good,9913.41
2013,141995.0,2500,234,2,4,5,1,0,0,Kia,Electric,Automatic,Coupe,Poor,2896.02
2010,204290.0,1600,142,2,5,5,0,2,1,BMW,Diesel,Automatic,Van,Poor,500.0
2014,140462.0,1600,136,2,2,6,1,2,1,Nissan,Petrol,Automatic,Hatchback,Good,1811.56
2013,149268.0,3000,245,1,4,8,0,0,1,Ford,Petrol,Manual,SUV,Fair,2761.4
2008,202301.0,1800,189,1,4,4,1,3,1,Toyota,Diesel,Automatic,Hatchback,Good,2620.1
2015,134609.0,1500,134,1,4,5,0,1,1,Kia,Diesel,Automatic,Coupe,Good,4272.73
2010,181695.0,1800,150,1,4,5,1,0,1,Nissan,Diesel,Automatic,Van,New,4410.0
2022,22018.0,4000,325,1,5,8,1,1,1,Audi,Electric,Automatic,Sedan,Poor,7635.82
2008,189518.0,2500,198,1,4,5,1,0,0,Toyota,Diesel,Manual,Coupe,Fair,500.0
2016,114337.0,1500,125,1,4,5,1,0,0,Honda,Petrol,Automatic,Hatchback,Fair,2030.15
2013,130389.0,3500,277,1,4,5,1,0,1,Nissan,Electric,Manual,Coupe,Good,10268.47
2019,71067.0,4000,343,2,5,5,0,0,1,BMW,Petrol,Automatic,Coupe,New,31205.33
2013,159858.0,1500,115,1,4,5,1,1,1,Audi,Hybrid,Automatic,SUV,Good,8799.79
2010,184560.0,2500,223,3,4,5,1,0,1,Nissan,Electric,Automatic,Van,Good,3939.63
2015,109168.0,2500,223,4,4,6,1,1,1,Volkswagen,Hybrid,Manual,Coupe,Good,9037.58
2011,189150.0,1000,82,1,4,5,1,0,1,Toyota,Diesel,Automatic,Sedan,Like New,4896.26
2018,92218.0,2000,175,1,4,5,1,0,1,BMW,Diesel,Automatic,SUV,Good,11257.04
2020,75267.0,1500,134,3,4,5,1,1,1,Audi,Petrol,Manual,Sedan,New,18487.22
2019,37987.0,2000,144,4,4,5,1,0,1,Honda,Diesel,Manual,Hatchback,Like New,14200.81
2013,148963.0,3000,275,1,2,5,0,1,0,Honda,Petrol,Manual,Van,Fair,4223.05
2023,36632.0,1600,129,1,4,5,1,1,1,Hyundai,Petrol,Manual,Coupe,Good,8386.03
2016,133504.0,1600,143,1,4,6,0,0,1,Hyundai,Petrol,Automatic,Van,Good,6575.61
2015,98043.0,3000,260,2,4,5,1,0,1,Hyundai,Diesel,Automatic,Truck,Good,5880.91
2012,174092.0,3500,254,5,4,5,0,0,0,Nissan,Electric,Automatic,Coupe,Good,6530.19
2007,240666.0,1200,90,3,4,6,1,1,1,Toyota,Petrol,Manual,Truck,New,3342.64
2023,0.0,3000,262,2,3,5,1,1,1,Audi,Petrol,Manual,SUV,Poor,4490.21
2007,223179.0,1200,100,3,4,5,1,0,0,Honda,Petrol,Automatic,Hatchback,Good,500.0
2007,225264.0,1500,135,1,5,4,0,0,0,Kia,Petrol,Automatic,Truck,Good,845.44
2010,175095.0,2000,168,2,4,7,1,0,1,Toyota,Petrol,Automatic,Coupe,Fair,2627.7
2015,112649.0,2000,185,1,3,2,1,0,1,Toyota,Petrol,Manual,Coupe,Good,4986.14
2018,94018.0,2000,168,1,4,6,1,3,1,Audi,Petrol,Automatic,Coupe,New,16252.01
2006,218775.0,1000,104,1,5,7,1,0,1,Kia,Diesel,Automatic,Hatchback,Poor,2150.99
2016,104741.0,1200,85,2,4,5,0,0,1,Mercedes,Petrol,Automatic,Truck,Good,6844.7
2020,72187.0,3000,248,3,4,4,1,1,1,Nissan,Diesel,Automatic,Truck,Good,11793.73
2007,242311.0,1200,91,2,4,5,1,0,1,Ford,Petrol,Automatic,Hatchback,Poor,2836.63
2020,68070.0,1200,105,1,3,5,0,0,0,Volkswagen,Petrol,Manual,Sedan,Like New,7387.4
2014,134002.0,2500,204,1,5,5,1,0,1,Toyota,Petrol,Automatic,SUV,Like New,6858.08
